Account ID,AdGroup ID,Report Date,Adult - Suitable Impressions,Crime & Harmful Acts - Suitable Impressions,"Death, Injury & Military Conflict - Suitable Impressions","Drugs, Alcohol & Tobacco - Suitable Impressions",Hate Speech & Acts of Aggression - Suitable Impressions,Misinformation - Suitable Impressions,Online Piracy - Suitable Impressions,Profanity & Obscenity - Suitable Impressions,Debated Sensitive Social Issues - Suitable Impressions,Spam - Suitable Impressions,Terrorism - Suitable Impressions,Arms & Ammunition - Suitable Impressions,Suitable Impressions,Brand Suitability %
6117086388,189766852293,2025-12-21,91825,91866,91710,91674,91894,91910,91873,91851,91886,91889,91889,91761,91086,0.991035
1068691411,196291455508,2025-11-13,19616,19616,19616,19616,19616,19616,19616,19616,19616,19616,19616,19616,19616,0.99999
6117086388,187144642938,2025-12-03,536,528,524,534,537,537,537,527,531,537,537,531,501,0.932961
6117086388,187144642938,2025-12-22,1096,1095,1077,1091,1096,1096,1092,1090,1087,1095,1094,1091,1052,0.959854
6021145596,192614812769,2025-12-18,265612,266469,265389,264852,266727,266943,266903,264468,266640,266782,266801,266063,258423,0.968003
6117086388,187736038042,2025-12-15,126468,126516,126433,126285,126585,126591,126578,126363,126179,126567,126581,126516,125253,0.989415
6021145596,189902476939,2025-12-15,878195,882044,877475,879222,882747,882953,882903,877777,881062,881777,882001,880327,859332,0.973241
6117086388,999,2025-11-11,102,102,100,102,102,102,102,99,102,102,102,101,98,0.960784
6117086388,187736038042,2025-10-25,12852,12882,12864,12860,12888,12890,12879,12855,12886,12888,12884,12879,12728,0.987432
6117086388,187736038042,2025-10-12,98419,98698,98550,98503,98771,98787,98772,98619,98764,98770,98771,98677,97442,0.986305
6021145596,192614812769,2025-12-19,291972,292420,291712,291434,292651,292791,292783,291266,292594,292590,292424,292147,286989,0.98014
6117086388,187736038042,2025-12-21,155191,155298,155079,154990,155334,155347,155321,155260,155317,155317,155335,155177,154164,0.992346
6117086388,187144642938,2025-11-16,4973,4966,4971,4965,4976,4975,4976,4952,4972,4975,4975,4971,4921,0.988947
6117086388,187736038042,2025-11-13,85599,85153,85409,85558,85684,85696,85692,85313,85646,85685,85684,85639,84291,0.983593
1068691411,196291455508,2025-11-30,17986,17986,17986,17986,17986,17986,17986,17986,17986,17986,17986,17986,17986,0.99999
6021145596,188359075845,2025-12-20,94663,94711,94548,94548,94944,95019,95015,94400,94914,94950,94965,94690,92657,0.975111
6117086388,187144642938,2025-12-18,215,215,212,215,215,215,215,213,215,215,215,215,210,0.976744
6117086388,187736038042,2025-10-30,14413,14288,14338,14417,14448,14449,14449,14189,14364,14445,14449,14413,13826,0.956883
6117086388,187736038042,2025-11-20,172649,172643,172441,172705,172969,172978,172978,172207,172902,172911,172952,172461,170400,0.985079
6117086388,187736038042,2025-12-09,66467,66306,66386,66444,66539,66542,66540,66390,66518,66540,66531,66437,65789,0.988669
6117086388,187736038042,2025-12-14,128121,128187,127941,127895,128238,128251,128229,127953,127445,128230,128250,128161,126278,0.984616
6021145596,188359075845,2025-12-24,73521,73663,73581,73526,73723,73753,73746,73533,73701,73726,73737,73643,72736,0.986211
1068691411,196291455508,2025-11-22,16587,16587,16587,16587,16587,16587,16587,16587,16587,16587,16587,16587,16587,0.99999
6117086388,187736038042,2025-11-01,70990,70592,70334,70854,71124,71129,71081,69759,70348,71124,71127,70862,67567,0.949828
6117086388,187736038042,2025-11-06,52459,52178,52290,52320,52505,52513,52514,52048,52376,52514,52504,52400,51263,0.976178
6117086388,186228928316,2025-10-14,129350,129596,129455,129284,129627,129678,129653,129268,129650,129633,129651,129553,128035,0.987284
6021145596,189902476979,2025-12-17,175655,176474,175600,176329,176720,176782,176776,175548,176365,176658,176658,176004,171561,0.970428
6117086388,186228928316,2025-11-28,97198,97058,97025,97108,97259,97277,97272,96615,96996,97272,97265,97138,95700,0.983789
6021145596,188359075645,2025-12-20,21395,21482,21455,21453,21483,21490,21490,21348,21480,21483,21490,21466,21151,0.984225
6117086388,187144642938,2025-11-09,56,56,56,55,56,56,56,56,55,56,56,56,54,0.964286
6117086388,186228928316,2025-11-09,62890,62697,62658,62789,62967,62983,62973,62617,62921,62968,62974,62851,61633,0.97855
6117086388,186228928316,2025-12-03,101197,101098,101116,101098,101274,101295,101291,100589,101178,101294,101284,101184,99898,0.986189
1068691411,193473365491,2025-11-13,58,58,58,58,58,58,58,58,58,58,58,58,58,0.99999
6117086388,187144642938,2025-11-20,6023,6022,6022,6021,6026,6026,6026,6010,6020,6025,6024,6021,5985,0.993196
6021145596,188359075805,2025-12-23,35544,35600,35547,35536,35610,35613,35611,35579,35597,35596,35611,35564,35292,0.990986
6021145596,188359075645,2025-12-18,10161,10187,10169,10141,10194,10197,10197,10130,10182,10194,10192,10179,9975,0.978133
6117086388,187144642938,2025-11-28,349,348,345,349,349,349,349,344,346,349,349,347,338,0.968481
8698807816,185089958853,2025-10-22,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,38115,0.99999
6021145596,188359075885,2025-12-24,173308,173602,173435,173228,173677,173744,173741,173240,173650,173692,173720,173574,171703,0.988219
6117086388,187736038042,2025-10-15,81313,81504,81157,81266,81562,81579,81495,81435,81567,81569,81557,81501,80236,0.983513
6117086388,185681161146,2025-11-12,117397,116896,117236,116847,117468,117473,117475,117124,117369,117465,117347,117357,115434,0.982601
6117086388,187144642938,2025-11-17,3798,3801,3796,3790,3801,3802,3801,3788,3794,3802,3802,3801,3757,0.988164
6117086388,187144642938,2025-12-05,845,836,833,844,846,846,846,829,835,845,846,838,796,0.940898
6117086388,187144642938,2025-11-18,5557,5559,5554,5550,5558,5561,5560,5536,5556,5561,5561,5558,5508,0.990469
6117086388,187736038042,2025-10-18,138654,139125,138608,138869,139185,139207,139194,138948,139182,139179,139173,139047,137238,0.985849
6021145596,188359075805,2025-12-24,38628,38682,38659,38555,38686,38692,38690,38627,38680,38662,38688,38634,38298,0.989817
6117086388,188221594469,2025-11-28,68884,68480,68734,68850,68972,68975,68972,68604,68853,68974,68971,68763,67575,0.979703
6117086388,187144642938,2025-12-21,2377,2377,2361,2375,2381,2382,2380,2368,2373,2382,2382,2369,2320,0.973971
6117086388,187144642978,2025-10-23,99,100,99,100,99,100,100,99,100,100,100,100,96,0.96
6117086388,187736038042,2025-11-21,131963,131915,131885,131809,132147,132162,132161,131578,132061,132152,132148,131933,130394,0.986608
6021145596,189902476979,2025-12-15,447855,449779,447045,448718,450206,450343,450319,447512,448924,449817,449849,449011,437894,0.972352
6117086388,187144642938,2025-12-12,1077,1080,1070,1078,1081,1082,1082,1072,1077,1082,1081,1071,1042,0.963031
6021145596,188359075645,2025-12-22,8943,8972,8963,8962,8975,8975,8976,8961,8971,8974,8974,8968,8889,0.990307
6117086388,185681161146,2025-10-22,57418,57607,57469,57475,57644,57651,57650,57583,57643,57641,57645,57611,56894,0.986835
6117086388,189766852293,2025-12-14,112441,112464,112281,112266,112516,112537,112513,112292,112281,112518,112532,112490,111352,0.98947
6117086388,186228928316,2025-11-01,61321,61186,61085,61203,61436,61448,61450,60433,61223,61447,61436,61227,59333,0.965502
6117086388,188221594469,2025-11-30,81492,81166,81063,81324,81504,81511,81482,80871,81420,81511,81508,81465,79861,0.979745
6021145596,188359075645,2025-12-19,12801,12822,12811,12796,12841,12849,12849,12778,12832,12842,12842,12830,12587,0.979533
6117086388,187144642938,2026-01-01,836,834,831,835,836,838,838,826,833,837,838,832,804,0.959427
6021145596,189902476979,2025-12-16,194733,195505,194635,195098,195585,195702,195688,194248,195243,195617,195537,194634,190321,0.972499
6117086388,186228928316,2025-12-25,129555,129755,129691,129599,129786,129827,129825,129544,129779,129812,129806,129741,128757,0.991735
6117086388,186228928316,2025-12-19,69745,69830,69786,69717,69841,69865,69861,69722,69841,69856,69863,69828,69333,0.992385
1068691411,999,2025-11-11,48,48,48,48,48,48,48,48,48,48,48,48,48,0.99999
1068691411,196291455508,2025-11-23,17747,17747,17747,17747,17747,17747,17747,17747,17747,17747,17747,17747,17747,0.99999
6117086388,185681161146,2025-10-10,213528,214603,213681,213851,214663,214738,214737,214295,214688,214700,214700,214413,210577,0.980586
8698807816,185089958853,2025-10-17,25744,25744,25744,25744,25744,25744,25744,25744,25744,25744,25744,25744,25744,0.99999
6021145596,189902476939,2025-12-17,383064,385166,383181,384922,385652,385808,385800,382819,384817,385557,385497,384135,374024,0.969419
6117086388,187736038042,2025-11-24,222568,220516,221467,222325,222734,222779,222772,222021,221832,222769,222678,222462,217459,0.976107
6117086388,187144642938,2025-12-19,1005,1002,997,1001,1006,1006,1006,995,1001,1005,1005,1001,970,0.964215
6117086388,187736038042,2025-12-03,81949,81809,81736,81838,82018,82019,82021,81582,81926,82020,82009,81883,80849,0.985699
1068691411,193473365491,2025-12-01,59,59,59,59,59,59,59,59,59,59,59,59,59,0.99999
6117086388,186228928316,2025-11-27,106522,106362,106334,106385,106580,106605,106603,106004,106159,106600,106594,106498,104831,0.983341
6021145596,188359075805,2025-12-20,37756,37915,37879,37797,37909,37930,37930,37757,37911,37914,37923,37881,37318,0.983865
1068691411,999,2025-11-17,80,80,80,80,80,80,80,80,80,80,80,80,80,0.99999
6021145596,188359075805,2025-12-25,39291,39368,39349,39241,39384,39387,39384,39243,39370,39360,39384,39323,38869,0.986848
1068691411,999,2025-11-30,34,34,34,34,34,34,34,34,34,34,34,34,34,0.99999
6117086388,188221594469,2025-11-27,59209,58814,59039,59115,59226,59230,59229,58935,59017,59224,59227,59168,58072,0.980449
6117086388,186228928316,2025-11-05,60591,60539,60577,60551,60679,60701,60698,60340,60635,60695,60690,60606,59772,0.984695
6021145596,188359075845,2025-12-19,89519,89635,89476,89432,89876,89945,89948,89317,89827,89876,89894,89657,87534,0.97313
6117086388,187736038042,2025-10-10,71317,71697,71453,71461,71745,71789,71783,71581,71762,71765,71773,71562,70092,0.976361
1068691411,193473365491,2025-11-15,115,115,115,115,115,115,115,115,115,115,115,115,115,0.99999
6117086388,187736038042,2025-12-23,99115,99147,99012,99013,99193,99204,99206,99144,99169,99199,99175,99042,98417,0.992007
6117086388,187736038042,2025-12-18,93581,93720,93643,93539,93758,93767,93753,93681,93740,93756,93756,93713,93030,0.99214
6117086388,187736038042,2025-10-14,90646,90928,90785,90681,90972,90982,90915,90905,90975,90965,90973,90878,89803,0.986955
6021145596,188359075805,2025-12-21,47077,47183,47149,47096,47198,47203,47181,47119,47181,47190,47173,47155,46739,0.99017
6117086388,187144642938,2025-12-09,826,821,821,827,827,827,827,821,825,827,827,824,808,0.977025
6021145596,188359075805,2025-12-28,40585,40687,40625,40569,40679,40699,40698,40654,40660,40351,40698,40572,39803,0.977913
6021145596,188359075845,2025-12-27,79418,79538,79392,79115,79580,79610,79601,79334,79552,79577,79611,79477,78120,0.981124
6117086388,999,2025-11-10,87,86,85,87,87,87,87,85,86,87,87,87,83,0.954023
6021145596,188359075645,2025-12-26,18610,18640,18615,18611,18652,18655,18654,18577,18636,18645,18651,18572,18360,0.984134
6117086388,999,2025-11-20,203,202,199,203,202,203,203,201,202,203,203,202,196,0.965517
1068691411,196291455508,2025-11-29,16839,16839,16839,16839,16839,16839,16839,16839,16839,16839,16839,16839,16839,0.99999
6117086388,186228928316,2025-10-30,41985,41741,41781,41931,42064,42075,42075,41212,41782,42071,42069,41993,40262,0.956842
6117086388,187736038042,2025-12-22,104765,104863,104698,104597,104898,104905,104904,104842,104879,104892,104887,104686,103897,0.990325
6117086388,188221594469,2025-11-14,48908,48620,48752,48835,48933,48935,48929,48781,48919,48935,48935,48896,48236,0.985675
1068691411,196291455508,2025-11-15,19479,19479,19479,19479,19479,19479,19479,19479,19479,19479,19479,19479,19479,0.99999
6117086388,187736038042,2025-11-26,172155,171691,171692,171776,172220,172237,172238,171341,172043,172206,172202,172063,169646,0.98494
6117086388,187736038042,2025-11-12,73783,73489,73691,73541,73857,73858,73859,73577,73811,73851,73798,73795,72615,0.983144
1068691411,193473365491,2025-11-28,66,66,66,66,66,66,66,66,66,66,66,66,66,0.99999
1068691411,999,2025-11-19,36,36,36,36,36,36,36,36,36,36,36,36,36,0.99999
6117086388,187144642938,2025-12-20,1581,1584,1569,1579,1586,1586,1586,1567,1578,1586,1586,1578,1528,0.96343
6117086388,186228928316,2026-01-01,39363,39429,39406,39284,39449,39459,39453,39309,39448,39444,39451,39421,38907,0.985986
6117086388,187736038042,2025-11-28,103256,102540,102859,103185,103372,103388,103380,102709,103094,103385,103383,103126,100956,0.976458
6117086388,187144642938,2025-12-27,149,149,146,149,149,149,149,146,148,149,149,147,142,0.95302
6021145596,188359075885,2025-12-23,178560,178792,178550,178423,178925,179004,179000,178370,178887,178911,178948,178775,176492,0.985934
6117086388,188221594469,2025-11-12,46409,46019,46181,45961,46574,46587,46572,45708,46519,46580,46570,46371,44127,0.947155
6117086388,185681161146,2025-10-25,66946,67083,67000,66908,67115,67118,67011,66947,67103,67109,67056,67085,66225,0.986695
6117086388,185681161146,2025-10-20,178410,178902,178392,178793,179160,179183,179147,179010,179130,179144,179173,179124,176782,0.986578
6021145596,188359075885,2025-12-17,146327,146598,145822,146378,148018,148221,148157,144431,147321,148032,148124,147043,136874,0.923402
6117086388,187736038042,2025-12-19,63405,63445,63401,63325,63464,63470,63471,63418,63450,63459,63470,63434,63070,0.993666
6117086388,187736038042,2025-12-04,100246,100114,100097,100192,100359,100361,100360,99912,100234,100341,100357,100275,99081,0.987226
1068691411,196291455508,2025-11-25,17830,17830,17830,17830,17830,17830,17830,17830,17830,17830,17830,17830,17830,0.99999
6117086388,185681161146,2025-10-27,66640,66653,66614,66513,66693,66703,66701,66659,66696,66690,66691,66618,66189,0.992294
6117086388,186228928316,2025-11-19,130176,130054,130006,130055,130193,130281,130285,129683,130182,130269,130262,130025,128675,0.987635
6117086388,187736038042,2025-12-02,77222,77153,77126,77187,77336,77335,77335,76931,77282,77328,77328,77274,76308,0.986695
6117086388,186228928316,2025-10-12,155580,156025,155866,155667,156060,156127,156117,155619,156077,156106,156086,155995,154054,0.986684
6117086388,186228928316,2025-12-29,146181,146505,146356,146302,146413,146559,146547,146294,146527,146551,146548,146456,145198,0.990693
6117086388,187736038042,2025-11-23,221123,219624,220476,220237,221181,221229,221209,220257,220357,221223,221204,220919,216472,0.978458
6117086388,187144642938,2025-12-14,1835,1825,1829,1832,1836,1836,1835,1816,1822,1835,1836,1831,1786,0.972767
6117086388,999,2025-10-08,219743,220240,219911,219543,220288,220353,220339,219569,220303,220320,220312,220161,217351,0.986359
6021145596,188359075845,2025-12-25,82975,83046,82954,82919,83134,83157,83159,82872,83006,83115,83127,82924,81893,0.984705
6021145596,189902476979,2025-12-12,191187,190772,190126,191845,192077,192823,192765,190531,191242,192758,192641,191486,182497,0.946448
6021145596,188359075805,2025-12-29,44187,44262,44117,44102,44254,44268,44264,44213,44242,44149,44263,44209,43605,0.985023
6117086388,187144642938,2025-12-17,215,216,213,216,216,216,216,213,211,216,216,214,206,0.953704
1068691411,196291455508,2025-11-21,16406,16406,16406,16406,16406,16406,16406,16406,16406,16406,16406,16406,16406,0.99999
6117086388,187736038042,2026-01-02,81666,81921,81675,81444,81946,81966,81954,81802,81939,81939,81948,81842,80501,0.982079
6117086388,186228928316,2025-11-12,110120,110121,110099,109781,110262,110280,110275,109800,110226,110278,110196,110184,108696,0.985637
6117086388,185681161146,2025-10-28,58286,58312,58288,58145,58358,58360,58359,58312,58355,58344,58359,58324,57850,0.991244
6117086388,187736038042,2025-10-07,95281,95526,95341,95092,95623,95653,95654,95375,95626,95646,95622,95520,93851,0.9811
1068691411,193473365491,2025-11-25,121,121,121,121,121,121,121,121,121,121,121,121,121,0.99999
6021145596,188359075805,2025-12-26,35964,36031,36011,35948,36064,36067,36061,35950,36037,36051,36063,35947,35533,0.985194
6117086388,185681161146,2025-11-06,114407,113417,113993,114165,114511,114523,114527,113233,114370,114529,114515,114229,111673,0.975038
6117086388,186228928316,2025-12-07,134245,134225,134178,134155,134392,134412,134401,133902,134299,134397,134399,134282,132926,0.988908
6021145596,188359075805,2025-12-17,12954,12998,12934,12992,13024,13026,13025,12946,13017,13011,13011,12995,12664,0.972209
1068691411,193473365491,2025-12-03,80,80,80,80,80,80,80,80,80,80,80,80,80,0.99999
6117086388,186228928316,2025-11-22,137320,137291,137185,137238,137458,137484,137480,136894,137388,137468,137466,137275,135870,0.988232
6117086388,185681161146,2025-11-10,102642,104366,104605,104815,105044,105058,105050,104669,104895,105052,105039,104834,100878,0.960212
6117086388,187736038042,2025-10-19,117145,117486,117208,117191,117519,117548,117527,117400,117525,117512,117532,117458,116076,0.987452
6117086388,187736038042,2025-12-11,112670,113021,112970,112919,113137,113180,113178,112921,112926,113172,113172,113087,111513,0.985245
6117086388,187736038042,2025-12-13,134721,134771,134607,134411,134911,134926,134884,134586,134696,134912,134918,134790,133111,0.986512
1068691411,196291455508,2025-11-11,20056,20056,20056,20056,20056,20056,20056,20056,20056,20056,20056,20056,20056,0.99999
6117086388,187736038042,2026-01-01,75187,75370,75315,74906,75400,75424,75408,75263,75405,75412,75408,75369,74279,0.984819
6117086388,185681161146,2025-10-24,65714,65795,65730,65690,65860,65867,65867,65743,65856,65856,65863,65807,65169,0.989403
1068691411,193473365491,2025-11-27,71,71,71,71,71,71,71,71,71,71,71,71,71,0.99999
6117086388,187736038042,2025-11-07,45168,45028,45039,45095,45193,45210,45208,44885,44998,45206,45202,45072,44129,0.976089
6117086388,188221594469,2025-11-23,49645,49203,49522,49395,49677,49686,49680,49456,49500,49682,49677,49607,48471,0.975527
6117086388,187736038042,2025-12-27,132021,132201,132058,131723,132170,132234,132230,131933,132204,132218,132237,132096,130727,0.988529
6117086388,186228928316,2025-11-21,111642,111644,111587,111571,111761,111786,111783,111216,111726,111777,111772,111597,110433,0.98787
6117086388,185681161146,2025-10-23,63480,63606,63452,63566,63689,63695,63697,63558,63683,63694,63689,63666,62832,0.986405
6117086388,185681161146,2025-10-30,61356,60444,60833,61320,61444,61451,61455,60441,61092,61438,61444,61246,58545,0.952648
6117086388,187144642938,2026-01-02,1832,1833,1824,1828,1840,1840,1837,1822,1828,1840,1837,1827,1768,0.96087
6117086388,186228928316,2025-12-08,99568,99621,99548,99557,99757,99767,99764,99296,99694,99753,99749,99675,98506,0.987331
6117086388,186228928316,2025-11-30,184955,184714,183572,184726,185048,185073,185058,183357,184862,185077,185065,184963,180910,0.977459
6117086388,187736038042,2025-12-07,193164,192770,192954,193111,193396,193415,193375,192424,193298,193397,193393,193186,190765,0.986294
6117086388,186228928316,2025-10-11,151813,152276,151977,151799,152319,152380,152376,151860,152330,152353,152346,152180,149955,0.984047
6117086388,186228928316,2025-10-10,104630,105127,104907,104861,105164,105236,105234,104741,105187,105221,105198,105096,103183,0.980454
1068691411,999,2025-11-21,32,32,32,32,32,32,32,32,32,32,32,32,32,0.99999
6117086388,187736038042,2025-10-11,128664,129099,128705,128734,129167,129223,129197,129022,129200,129192,129205,128838,126794,0.981104
6117086388,187144642938,2025-12-01,507,502,500,506,507,507,507,504,505,507,507,499,487,0.960552
6117086388,186228928316,2025-10-29,43008,43108,43077,43026,43128,43134,43127,43036,43127,43130,43127,43101,42685,0.989568
6117086388,186228928316,2025-10-08,92302,92513,92413,92243,92543,92591,92588,92039,92560,92582,92555,92504,91048,0.983314
6117086388,186228928316,2025-12-04,88207,88240,88163,88231,88355,88358,88361,87852,88269,88355,88352,88291,87238,0.98728
6021145596,188359075885,2025-12-25,187783,187943,187709,187589,188059,188131,188121,187555,187924,188056,188063,187777,185749,0.987297
6117086388,185681161146,2025-11-01,124421,123683,123284,123998,124529,124563,124573,122813,123764,124570,124552,124085,119604,0.960058
6117086388,185681161146,2025-10-14,219288,219600,219250,219173,219651,219672,219634,219435,219653,219647,219664,219479,217690,0.990887
6117086388,187736038042,2025-12-29,124007,124115,123954,123954,124116,124157,124157,124093,124133,124137,124133,124085,123332,0.993291
6117086388,185681161146,2025-11-14,80810,80411,80574,80694,80845,80852,80848,80602,80819,80851,80843,80796,79805,0.987026
6117086388,188221594469,2025-11-22,47778,47756,47694,47755,47879,47881,47876,47634,47831,47872,47877,47798,47054,0.982707
6021145596,188359075845,2025-12-26,73135,72925,73051,72753,73234,73251,73045,73063,73106,73125,73235,73072,71819,0.980411
6021145596,188359075845,2025-12-22,89041,89102,88943,88866,89231,89258,89251,88881,89198,89166,89220,89093,87654,0.981953
6117086388,187144642938,2025-12-06,1092,1082,1068,1090,1089,1092,1092,1076,1077,1091,1090,1078,1029,0.942308
6117086388,187144642938,2025-12-31,98,97,98,98,98,98,98,98,98,97,98,96,94,0.959184
6117086388,189766852293,2025-12-12,84005,84112,83975,84005,84221,84230,84230,84109,84080,84227,84226,84161,83123,0.986834
6117086388,187736038042,2025-11-22,200350,200212,200036,200170,200565,200573,200552,199763,200367,200548,200559,200273,198023,0.987267
6021145596,188359075645,2025-12-24,20408,20436,20416,20384,20439,20442,20442,20416,20428,20420,20440,20401,20230,0.989629
6021145596,188359075885,2025-12-18,182558,182992,182422,182080,183603,183723,183683,181866,183344,183595,183640,183086,176913,0.962902
6021145596,188359075885,2025-12-20,196465,196633,196307,195920,197017,197133,197128,195924,196871,196952,197043,196672,192471,0.976331
6117086388,187736038042,2025-11-14,99866,99365,99580,99814,99953,99964,99964,99537,99848,99955,99960,99899,98469,0.984995
1068691411,193473365491,2025-11-26,61,61,61,61,61,61,61,61,61,61,61,61,61,0.99999
1068691411,193473365491,2025-11-14,122,122,122,122,122,122,122,122,122,122,122,122,122,0.99999
6117086388,186228928316,2025-10-25,48658,48764,48721,48628,48783,48790,48783,48629,48785,48774,48775,48764,48188,0.987621
6117086388,185681161146,2025-10-29,61213,61292,61285,61206,61336,61341,61340,61260,61336,61328,61340,61302,60847,0.991947
6117086388,999,2025-11-19,81,81,80,82,82,82,82,80,82,82,82,81,76,0.926829
6117086388,187736038042,2025-10-17,92141,92360,91907,92183,92427,92442,92435,92261,92418,92435,92425,92382,91019,0.984585
6117086388,187736038042,2025-11-03,74972,74914,74768,74820,75000,75009,75002,74710,74971,75000,75001,74903,74120,0.988122
6117086388,187736038042,2025-11-30,220233,219665,219090,219927,220329,220346,220300,218859,220083,220349,220334,220191,216280,0.98152
1068691411,196291455508,2025-11-17,19581,19581,19581,19581,19581,19581,19581,19581,19581,19581,19581,19581,19581,0.99999
6117086388,187736038042,2025-12-25,127786,127956,127807,127764,127940,127992,127987,127872,127935,127967,127989,127879,127018,0.992328
1068691411,999,2025-11-23,25,25,25,25,25,25,25,25,25,25,25,25,25,0.99999
6021145596,188359075805,2025-12-16,81639,81819,81526,81690,81892,81932,81931,81588,81819,81868,81836,81662,80199,0.978824
6117086388,187144642938,2025-12-04,627,620,613,625,629,629,629,615,621,629,627,626,589,0.936407
6117086388,186228928316,2025-12-31,132203,132358,132278,131905,132398,132419,132404,132166,132386,132415,132399,132306,131155,0.99044
6021145596,189902476939,2025-12-16,284792,285999,284846,285420,286161,286296,286273,284309,285692,286204,286016,285003,278844,0.973957
6117086388,186228928316,2025-10-22,42399,42535,42480,42440,42552,42559,42555,42446,42550,42553,42550,42528,42039,0.987782
6117086388,186228928316,2025-10-18,228846,229358,228944,228928,229404,229461,229456,228740,229405,229416,229429,229300,226764,0.988212
6117086388,189766852293,2025-12-20,88272,88316,88242,88178,88363,88374,88370,88312,88361,88365,88367,88317,87788,0.993369
6117086388,189766852293,2025-12-19,80981,81020,80969,80876,81046,81062,81061,81013,81038,81057,81053,81002,80536,0.993499
6117086388,187144642938,2025-12-13,1565,1563,1558,1568,1569,1571,1571,1557,1565,1571,1571,1562,1527,0.971992
6117086388,187736038042,2025-10-26,12588,12627,12610,12601,12631,12633,12614,12616,12629,12626,12622,12622,12467,0.98686
6117086388,185681161146,2025-11-04,93814,93614,93599,93537,93890,93898,93893,93602,93855,93896,93883,93741,92627,0.986464
6117086388,187144642938,2025-11-27,438,438,435,441,441,441,441,434,438,441,441,437,421,0.954649
6117086388,186228928316,2025-11-23,135819,135443,135442,135579,135923,135955,135951,135198,135732,135942,135911,135757,133584,0.982553
6021145596,189902476979,2025-12-18,402685,403707,402845,402445,403655,403898,403893,402771,403180,403797,403795,403484,398129,0.985702
6117086388,186228928316,2025-10-09,122367,122822,122656,122573,122889,122930,122928,122166,122892,122913,122887,122803,120729,0.982064
6117086388,186228928316,2025-12-12,130122,130544,130429,130361,130602,130644,130641,130256,130501,130624,130634,130565,128996,0.98737
1068691411,193473365491,2025-11-24,68,68,68,68,68,68,68,68,68,68,68,68,68,0.99999
6117086388,186228928316,2025-11-26,100436,100286,100266,100354,100489,100511,100506,100010,100421,100501,100499,100441,99291,0.987852
6117086388,999,2025-10-17,350210,350820,349846,350051,350941,351017,351002,350175,350905,351000,350939,350830,346834,0.988066
6117086388,999,2025-12-10,140842,140669,140691,140968,141132,141151,141148,140732,140904,141147,141137,140836,139159,0.98588
6117086388,999,2025-10-16,389826,390395,389788,389316,390508,390595,390559,389851,390502,390561,390529,390413,386620,0.989795
6117086388,999,2025-11-16,128399,126625,127838,128113,128433,128442,128366,127820,128285,128436,128437,127274,125138,0.974261
6117086388,999,2025-10-09,304292,305300,304717,304616,305500,305568,305554,304398,305468,305472,305511,305271,300658,0.983909
6021145596,999,2025-12-16,199657,199232,198539,198749,200932,201160,201002,196084,200084,200987,201022,199635,187583,0.932488
6117086388,999,2025-10-21,271011,271860,270453,271543,272030,272112,272100,271434,272023,272087,272064,271951,267751,0.983963
6117086388,999,2025-12-16,315116,315473,315133,315024,315594,315658,315651,314995,315289,315602,315629,315486,312685,0.990566
6117086388,999,2025-10-13,498238,499184,498577,497962,499365,499466,499334,498518,499355,499376,499381,498871,493816,0.988664
6117086388,999,2025-11-15,475542,473951,472405,474784,475753,475823,475756,472935,474920,475789,475790,475179,466897,0.981233
6117086388,999,2025-11-17,375334,373645,374370,374177,375717,375768,375720,373303,374452,375745,375722,374602,366869,0.976292
